,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-09-06,0.0008942904754570743,-0.019763797679871124,-0.01886950720441405,-0.019456639847311955,-1
2019-09-09,0.0006061278310105267,0.0012222171063094834,0.0018283449373200102,0.004351851167201487,1
2019-09-10,0.0008863220858356848,-0.0033431997349725436,-0.0024568776491368585,0.007485737850780423,-1
2019-09-11,0.0008259965260682927,-0.015163968876758178,-0.014337972350689886,0.019556351873054212,-1
2019-09-12,0.0008780025216263533,-0.028377561977901637,-0.027499559456275285,-0.033538911677083415,-1
2019-09-13,0.0007090351533156561,0.0017001980867784425,0.0024092332400940985,-0.017406950558118597,1
2019-09-16,0.0008823562883010367,0.018489895576704198,0.019372251865005234,0.02488909998459854,1
2019-09-17,0.0007430244747360946,-0.0038778090551219533,-0.0031347845803858586,-0.0016119709080525233,-1
2019-09-18,0.0008768710786349338,-0.006370939517436273,-0.0054940684388013385,0.0057041812187611715,-1
2019-09-19,0.0007527451693893319,-0.008463895014138838,-0.007711149844749507,-0.017493742874450324,-1
2019-09-20,0.0004162922077251534,0.009909991311227636,0.010326283518952789,-0.006567915778276322,1
2019-09-23,0.00019830438421012303,0.01331176851218714,0.013510072896397263,0.019262729874235315,1
2019-09-24,-9.334474126093444e-05,-0.0018611588527222267,-0.001954503593983161,-0.009302972404764213,-1
2019-09-25,0.0001571264648813469,0.005302619837952121,0.005459746302833467,0.020038713610799435,1
2019-09-26,0.00042047192164791056,-0.015818230788094297,-0.015397758866446386,-0.020443416481299843,-1
2019-09-27,0.00019285399745086826,0.008766727411074237,0.008959581408525106,0.0002931433517172153,1
2019-09-30,0.0002022796396336365,0.005047022399286806,0.005249302038920442,0.02814041264910843,1
2019-10-01,0.0001178118042642342,-0.0247276891357135,-0.024609877331449266,-0.020498123166028732,-1
2019-10-02,0.000297818583338605,-0.0011145285622346309,-0.0008167099788960259,-0.028151852336165552,-1
2019-10-03,0.00012302930458906039,0.022253993456102194,0.022377022760691253,0.033846235412559426,1
2019-10-04,0.0003806545978512533,-0.0013099504484084378,-0.0009292958505571845,0.01918738162397972,-1
2019-10-07,0.0003625033999300473,-0.0307325319527028,-0.03037002855277275,-0.02742597015784242,-1
2019-10-08,0.0003982010727279884,-0.0012330986596976686,-0.0008348975869696802,-0.012004309143118267,-1
2019-10-09,0.0003505443263439978,0.015630001978341034,0.015980546304685032,0.023436097237646634,1
2019-10-10,0.00041052907190397423,-0.011989261235563566,-0.011578732163659592,0.0017363351274601712,-1
2019-10-11,0.00035901749444338136,-0.012492838817547045,-0.012133821323103663,0.01286236813502308,-1
2019-10-14,0.0003466134959143242,-0.026666518282430433,-0.02631990478651611,-0.027691142149472943,-1
2019-10-15,0.0006822696997347432,0.0019518390272526573,0.0026341087269874004,-0.000894024582483778,1
2019-10-16,0.0006483986278044713,0.004518562458509075,0.005166961086313546,-0.0017108381758781871,1
2019-10-17,0.0006196265344446891,0.0029495583204188166,0.003569184854863506,0.007920566496320239,1
2019-10-18,0.00020446873848319617,-0.004418829619759046,-0.00421436088127585,0.0009160778277570005,-1
2019-10-21,0.0002840892217715439,-0.0038856768330213357,-0.003601587611249792,0.012402672739945126,-1
2019-10-22,0.00023934015794452307,-0.014889371117033966,-0.014650030959089443,-0.01948339005916512,-1
2019-10-23,0.0003023186639794415,-0.0011030316349607532,-0.0008007129709813117,0.015618969851923627,-1
2019-10-24,0.00018780257439903958,-0.010090067099353185,-0.009902264524954145,-0.011686078732893426,-1
2019-10-25,0.0001318381453430972,-0.0026530688131196013,-0.002521230667776504,0.010597574861903667,-1
2019-10-28,0.0004921942635832273,-0.010337786515153921,-0.009845592251570693,-0.0022739138731822962,-1
2019-10-29,0.0007884541676660768,-0.005301521130014578,-0.004513066962348501,-0.03336675267008955,-1
2019-10-30,0.0010207109816278647,0.02202614251206959,0.023046853493697454,0.023276291758481622,1
2019-10-31,0.0006871508210497577,0.003215292204829212,0.0039024430258789698,0.022481016108234157,1
2019-11-01,0.0007248236923684931,-0.020318817346714958,-0.019593993654346466,0.00562782263789767,-1
2019-11-04,0.0010932978942167588,-0.02956932039097492,-0.02847602249675816,-0.02143996919058768,-1
2019-11-05,0.0012141961503928163,-0.0034531098434918478,-0.0022389136930990317,-0.007983424471604626,-1
2019-11-06,0.0012270996142551176,0.000343841808095425,0.0015709414223505427,0.0018654635408297472,1
